Gene	sgRNA	L4_F2|beta	L4_F2|z	L4_F2|p-value	L4_F2|fdr	L4_F2|wald-p-value	L4_F2|wald-fdr	L4_F3|beta	L4_F3|z	L4_F3|p-value	L4_F3|fdr	L4_F3|wald-p-value	L4_F3|wald-fdr	L4_F4|beta	L4_F4|z	L4_F4|p-value	L4_F4|fdr	L4_F4|wald-p-value	L4_F4|wald-fdr
HDAC1	6	-0.0097801	-0.31925	0.65979	0.95294	0.74954	0.96519	0.062671	2.0456	0.15464	0.98969	0.040799	0.50239	0.021873	0.71394	0.64948	0.98936	0.47526	0.75575
HDAC10	6	0.017975	0.51578	0.65979	0.95294	0.60601	0.93509	0.061824	1.7738	0.16495	0.98969	0.076091	0.56864	0.057138	1.6394	0.23711	0.98936	0.10113	0.5003
HDAC11	6	0.038216	1.3206	0.39175	0.95294	0.18662	0.93509	0.044937	1.5528	0.31959	0.98969	0.12047	0.64918	0.048602	1.6795	0.31959	0.98936	0.093062	0.5003
HDAC2	6	-0.023733	-0.70956	0.43299	0.95294	0.47798	0.93509	-0.024482	-0.73192	0.58763	0.98969	0.46422	0.77043	-0.016757	-0.50096	0.79381	0.98936	0.6164	0.82676
HDAC3	6	0.021949	0.5673	0.58763	0.95294	0.57051	0.93509	0.026729	0.69079	0.53608	0.98969	0.4897	0.77132	0.11561	2.9878	0.010309	0.25	0.00281	0.038939
HDAC4	6	0.01074	0.20853	0.79381	0.95294	0.83482	0.96519	0.054786	1.0636	0.2268	0.98969	0.28751	0.77043	0.061083	1.1858	0.20619	0.98936	0.23568	0.75037
HDAC5	6	0.0047044	0.14389	0.94845	0.98969	0.88559	0.96519	0.010222	0.31265	0.8866	0.98969	0.75455	0.88275	-0.0001522	-0.0046552	0.97938	0.98958	0.99629	0.99629
HDAC6	6	-0.025593	-0.63344	0.40206	0.95294	0.52645	0.93509	0.058402	1.4453	0.18557	0.98969	0.14836	0.6759	0.011484	0.28421	0.83505	0.98936	0.77625	0.89638
HDAC7	6	0.070018	1.7869	0.082474	0.72727	0.073955	0.93509	0.028399	0.72474	0.53608	0.98969	0.46861	0.77043	0.019825	0.50593	0.70103	0.98936	0.61291	0.82676
HDAC8	6	0.019655	0.72019	0.62887	0.95294	0.47141	0.93509	0.038605	1.4145	0.41237	0.98969	0.15721	0.6759	-0.028867	-1.0577	0.60825	0.98936	0.29017	0.75037
HDAC9	6	0.043473	1.1023	0.35052	0.95294	0.27034	0.93509	0.053372	1.3532	0.24742	0.98969	0.17598	0.71124	-0.020451	-0.51856	0.72165	0.98936	0.60407	0.82676
SIRT1	6	-0.039442	-1.0985	0.2268	0.95294	0.27201	0.93509	0.0056138	0.15633	0.97938	0.98969	0.87577	0.95449	-0.036353	-1.0124	0.57732	0.98936	0.31136	0.75037
SIRT2	6	0.031231	0.56715	0.49485	0.95294	0.57062	0.93509	0.068879	1.2507	0.14433	0.98969	0.21103	0.71896	0.097365	1.768	0.030928	0.5	0.077065	0.43973
SIRT3	6	0.11355	1.3399	0.020619	0.33333	0.18029	0.93509	0.20893	2.4651	0	0	0.013696	0.33212	0.00063123	0.0074487	0.98969	0.98969	0.99406	0.99629
SIRT4	6	-0.01618	-0.45064	0.58763	0.95294	0.65225	0.93509	-0.016953	-0.47215	0.70103	0.98969	0.63682	0.88275	0.01235	0.34397	0.83505	0.98936	0.73087	0.8622
SIRT5	6	-0.023892	-0.80775	0.43299	0.95294	0.41923	0.93509	0.031621	1.069	0.49485	0.98969	0.28508	0.77043	0.03252	1.0994	0.48454	0.98936	0.2716	0.75037
SIRT6	6	0.054295	1.5185	0.18557	0.95294	0.12888	0.93509	0.052768	1.4757	0.25773	0.98969	0.14002	0.6759	0.043654	1.2208	0.37113	0.98936	0.22215	0.75037
SIRT7	6	0.012364	0.23614	0.75258	0.95294	0.81333	0.96519	0.047615	0.90927	0.30928	0.98969	0.36321	0.77043	-0.0044585	-0.085145	0.94845	0.98936	0.93215	0.9619
SMARCA1	6	-0.044074	-1.6016	0.19588	0.95294	0.10924	0.93509	-0.032172	-1.1691	0.52577	0.98969	0.24237	0.77043	0.011352	0.41249	0.83505	0.98936	0.67998	0.83693
SMARCA2	6	-0.016938	-0.4618	0.57732	0.95294	0.64423	0.93509	-0.00049091	-0.013383	0.91753	0.98969	0.98932	0.98932	-0.017001	-0.46349	0.79381	0.98936	0.64301	0.83163
SMARCA4	6	-0.0004873	-0.012927	0.93814	0.98969	0.98969	0.98969	-0.012584	-0.33381	0.73196	0.98969	0.73853	0.88275	-0.074037	-1.9641	0.30928	0.98936	0.049522	0.4003
SMARCA5	6	0.048156	1.2853	0.27835	0.95294	0.1987	0.93509	-0.011941	-0.31868	0.73196	0.98969	0.74997	0.88275	-0.035914	-0.95852	0.57732	0.98936	0.3378	0.75037
SMARCAD1	6	0.055865	1.24	0.18557	0.95294	0.21498	0.93509	0.039071	0.86718	0.40206	0.98969	0.38584	0.77043	0.0064891	0.14403	0.90722	0.98936	0.88548	0.94979
SMARCAL1	6	0.0079611	0.21497	0.83505	0.95294	0.82979	0.96519	-0.045925	-1.2401	0.41237	0.98969	0.21495	0.71896	-0.0091449	-0.24693	0.89691	0.98936	0.80496	0.90792
SMARCB1	6	-0.067043	-1.6038	0.072165	0.72727	0.10877	0.93509	-0.059408	-1.421	0.34021	0.98969	0.1553	0.6759	-0.03798	-0.90849	0.57732	0.98936	0.36362	0.75037
SMARCC1	6	0.025126	0.70902	0.54639	0.95294	0.47831	0.93509	0.0090365	0.25498	0.89691	0.98969	0.79874	0.9009	0.068071	1.9207	0.14433	0.98936	0.054766	0.40864
SMARCC2	6	-0.00057256	-0.017338	0.93814	0.98969	0.98617	0.98969	-0.029846	-0.90383	0.54639	0.98969	0.36609	0.77043	0.014336	0.43413	0.80412	0.98936	0.66419	0.83671
SMARCD1	6	0.0011251	0.033434	0.98969	0.98969	0.97333	0.98969	0.0031598	0.093888	0.97938	0.98969	0.9252	0.9659	0.052944	1.5731	0.25773	0.98936	0.1157	0.5003
SMARCD2	6	-0.014775	-0.33724	0.61856	0.95294	0.73593	0.96467	-0.044041	-1.0052	0.42268	0.98969	0.31481	0.77043	0.033568	0.76611	0.47423	0.98936	0.44361	0.75575
SMARCD3	6	-0.03698	-1.0384	0.29897	0.95294	0.29909	0.93509	-0.015277	-0.42895	0.72165	0.98969	0.66796	0.88275	0.012839	0.36047	0.82474	0.98936	0.71849	0.86042
SMARCE1	6	0.0071917	0.17901	0.87629	0.96591	0.85793	0.96519	-0.029509	-0.7345	0.54639	0.98969	0.46265	0.77043	0.0039192	0.097551	0.95876	0.98936	0.92229	0.9619
SET	6	-0.017407	-0.54614	0.57732	0.95294	0.58497	0.93509	0.0095516	0.29965	0.89691	0.98969	0.76444	0.88275	0.046201	1.4494	0.34021	0.98936	0.14723	0.57126
SETBP1	6	0.01665	0.61756	0.6701	0.95294	0.53687	0.93509	0.011176	0.41448	0.87629	0.98969	0.67853	0.88275	0.0257	0.95315	0.60825	0.98936	0.34052	0.75037
SETD1A	6	0.015669	0.51683	0.71134	0.95294	0.60528	0.93509	-0.060328	-1.9898	0.31959	0.98969	0.046614	0.50239	0.0065377	0.21563	0.90722	0.98936	0.82928	0.9246
SETD1B	6	0.011729	0.29253	0.78351	0.95294	0.76988	0.96519	0.024264	0.60514	0.61856	0.98969	0.54509	0.81337	0.056285	1.4037	0.23711	0.98936	0.1604	0.57627
SETD2	6	-0.0010095	-0.019049	0.93814	0.98969	0.9848	0.98969	0.0227	0.42834	0.63918	0.98969	0.6684	0.88275	-0.040906	-0.77191	0.5567	0.98936	0.44016	0.75575
SETD3	6	0.020017	0.46141	0.61856	0.95294	0.64451	0.93509	-0.042534	-0.98045	0.42268	0.98969	0.32686	0.77043	0.028746	0.66259	0.58763	0.98936	0.50759	0.78153
SETD4	6	-0.0036805	-0.081919	0.86598	0.96552	0.93471	0.97867	0.014526	0.3233	0.78351	0.98969	0.74647	0.88275	0.072957	1.6237	0.13402	0.98936	0.10444	0.5003
SETD5	6	0.034349	0.71671	0.47423	0.95294	0.47355	0.93509	0.0038467	0.08026	0.97938	0.98969	0.93603	0.9659	0.037333	0.77893	0.4433	0.98936	0.43602	0.75575
SETD6	6	0.016653	0.55904	0.6701	0.95294	0.57613	0.93509	-0.026794	-0.89946	0.57732	0.98969	0.36841	0.77043	-0.00033781	-0.01134	0.97938	0.98958	0.99095	0.99629
SETD7	6	0.016655	0.4064	0.6701	0.95294	0.68445	0.93509	-0.026166	-0.63848	0.57732	0.98969	0.52316	0.8055	0.029587	0.72194	0.57732	0.98936	0.47033	0.75575
SETD8	4	-0.0064669	-0.14547	0.83505	0.95294	0.88434	0.96519	-0.042267	-0.95073	0.47423	0.98969	0.34174	0.77043	-0.026032	-0.58554	0.70103	0.98936	0.55819	0.82036
SETD9	6	0.017332	0.5827	0.65979	0.95294	0.56009	0.93509	-0.023331	-0.78436	0.59794	0.98969	0.43283	0.77043	0.014589	0.49046	0.80412	0.98936	0.62381	0.82676
SETDB1	6	0.029178	0.92197	0.49485	0.95294	0.35655	0.93509	0.018756	0.59263	0.72165	0.98969	0.55343	0.81337	-0.012983	-0.41025	0.84536	0.98936	0.68162	0.83693
SETDB2	6	-0.052984	-1.2736	0.14433	0.95294	0.2028	0.93509	-0.03035	-0.72949	0.53608	0.98969	0.4657	0.77043	-0.063871	-1.5352	0.35052	0.98936	0.12473	0.5041
BRD1	6	0.077017	1.7645	0.061856	0.72727	0.077646	0.93509	0.084501	1.9359	0.082474	0.98969	0.052883	0.51297	0.03401	0.77918	0.47423	0.98936	0.43587	0.75575
BRD2	6	-0.16669	-2.1225	0	0	0.033796	0.93509	-0.13402	-1.7065	0.10309	0.98969	0.08792	0.57221	-0.14218	-1.8104	0.15464	0.98936	0.07024	0.42583
BRD3	6	-0.031123	-0.82018	0.3299	0.95294	0.41211	0.93509	-0.078989	-2.0815	0.21649	0.98969	0.037388	0.50239	-0.059221	-1.5606	0.37113	0.98936	0.11863	0.5003
BRD4	6	-0.02499	-0.48584	0.41237	0.95294	0.62708	0.93509	-0.040688	-0.79098	0.46392	0.98969	0.42896	0.77043	-0.030845	-0.59964	0.58763	0.98936	0.54875	0.8189
BRD7	6	-0.038957	-0.77677	0.24742	0.95294	0.43729	0.93509	-0.070426	-1.4042	0.24742	0.98969	0.16026	0.6759	-0.092109	-1.8365	0.27835	0.98936	0.066278	0.42583
BRD8	6	0.04061	0.95497	0.38144	0.95294	0.33959	0.93509	-0.0052804	-0.12417	0.84536	0.98969	0.90118	0.9659	0.043382	1.0201	0.37113	0.98936	0.30768	0.75037
BRD9	6	0.026261	0.6952	0.52577	0.95294	0.48693	0.93509	0.001683	0.044552	0.94845	0.98969	0.96446	0.98477	0.038145	1.0097	0.43299	0.98936	0.31262	0.75037
DNMT1	6	0.044184	1.0703	0.30928	0.95294	0.2845	0.93509	0.069058	1.6727	0.14433	0.98969	0.094385	0.57221	0.031736	0.76871	0.49485	0.98936	0.44206	0.75575
DNMT3A	6	-0.010423	-0.21586	0.64948	0.95294	0.8291	0.96519	-0.0095559	-0.19789	0.74227	0.98969	0.84313	0.92936	-0.047324	-0.98005	0.51546	0.98936	0.32706	0.75037
DNMT3B	6	0.056423	1.3203	0.17526	0.95294	0.18672	0.93509	0.036287	0.84912	0.45361	0.98969	0.39581	0.77043	0.034899	0.81664	0.46392	0.98936	0.41413	0.75575
DNMT3L	6	-0.0052642	-0.12798	0.81443	0.95294	0.89817	0.96803	-0.0035337	-0.085902	0.86598	0.98969	0.93154	0.9659	-0.044017	-1.07	0.53608	0.98936	0.2846	0.75037
KMT2A	6	-0.031014	-0.576	0.3299	0.95294	0.56462	0.93509	-0.048483	-0.9004	0.40206	0.98969	0.36791	0.77043	0.044403	0.8246	0.37113	0.98936	0.4096	0.75575
KMT2B	6	-0.01796	-0.34185	0.56701	0.95294	0.73246	0.96467	0.039233	0.7467	0.40206	0.98969	0.45524	0.77043	0.047945	0.91251	0.3299	0.98936	0.3615	0.75037
KMT2C	6	-0.0046277	-0.077395	0.82474	0.95294	0.93831	0.97867	0.023732	0.39687	0.62887	0.98969	0.69146	0.88275	-0.1431	-2.3933	0.15464	0.98936	0.016697	0.16197
KMT2D	6	-0.030968	-0.47163	0.3299	0.95294	0.63719	0.93509	-0.0017491	-0.026636	0.8866	0.98969	0.97875	0.98895	-0.21839	-3.3261	0.020619	0.4	0.00088069	0.014238
KMT2E	6	0.068492	1.3418	0.082474	0.72727	0.17966	0.93509	0.01549	0.30346	0.75258	0.98969	0.76154	0.88275	0.013675	0.2679	0.81443	0.98936	0.78878	0.90013
BCL6	6	-0.066392	-1.6075	0.082474	0.72727	0.10794	0.93509	-0.015076	-0.365	0.72165	0.98969	0.71511	0.88275	-0.019855	-0.48071	0.75258	0.98936	0.63072	0.82676
EZH1	6	-0.0089159	-0.15593	0.70103	0.95294	0.87609	0.96519	0.050558	0.88412	0.28866	0.98969	0.37663	0.77043	0.081065	1.4176	0.082474	0.98936	0.15631	0.57627
EZH2	6	0.030588	0.63788	0.49485	0.95294	0.52355	0.93509	0.010936	0.22805	0.8866	0.98969	0.81961	0.91382	0.044085	0.91932	0.37113	0.98936	0.35793	0.75037
JARID2	6	0.0087924	0.27722	0.82474	0.95294	0.78161	0.96519	0.014438	0.4552	0.79381	0.98969	0.64896	0.88275	0.058109	1.832	0.2268	0.98936	0.066954	0.42583
DOT1L	6	-0.033683	-1.0586	0.30928	0.95294	0.28977	0.93509	0.041848	1.3151	0.34021	0.98969	0.18848	0.71896	-0.0053323	-0.16757	0.94845	0.98936	0.86692	0.94484
EED	6	-0.0040936	-0.10764	0.83505	0.95294	0.91428	0.97456	0.014943	0.39291	0.7732	0.98969	0.69438	0.88275	0.059628	1.5678	0.21649	0.98936	0.11692	0.5003
SUZ12	6	-0.021246	-0.42733	0.48454	0.95294	0.66914	0.93509	-0.088156	-1.7731	0.20619	0.98969	0.07621	0.56864	-0.01896	-0.38133	0.75258	0.98936	0.70296	0.85234
AEBP1	6	0.050267	1.1011	0.23711	0.95294	0.27085	0.93509	0.07694	1.6853	0.092784	0.98969	0.091938	0.57221	0.033602	0.73602	0.47423	0.98936	0.46172	0.75575
AEBP2	6	0.1127	1.9297	0.020619	0.33333	0.053645	0.93509	0.041305	0.70721	0.36082	0.98969	0.47943	0.77132	-0.0069624	-0.11921	0.91753	0.98936	0.90511	0.9543
RBBP4	6	0.060675	1.4115	0.15464	0.95294	0.15809	0.93509	0.035142	0.81751	0.45361	0.98969	0.41364	0.77043	0.026705	0.62125	0.59794	0.98936	0.53443	0.81
PHF1	6	0.0511	1.0915	0.21649	0.95294	0.27507	0.93509	0.086041	1.8376	0.082474	0.98969	0.066116	0.56864	0.0238	0.50834	0.62887	0.98936	0.61121	0.82676
EP300	6	-0.024036	-0.47107	0.43299	0.95294	0.63759	0.93509	-0.018873	-0.36986	0.62887	0.98969	0.71148	0.88275	-0.17332	-3.397	0.061856	0.85714	0.00068128	0.013804
ASH1L	6	0.027518	0.65003	0.50515	0.95294	0.51567	0.93509	0.039401	0.93068	0.40206	0.98969	0.35202	0.77043	0.03794	0.89617	0.4433	0.98936	0.37016	0.75037
EHMT1	6	-0.056842	-1.1769	0.14433	0.95294	0.23923	0.93509	-0.046624	-0.96528	0.41237	0.98969	0.33441	0.77043	-0.032543	-0.67375	0.57732	0.98936	0.50047	0.78153
EHMT2	6	0.10733	1.9072	0.020619	0.33333	0.0565	0.93509	0.045517	0.8088	0.31959	0.98969	0.41863	0.77043	0.024436	0.43421	0.61856	0.98936	0.66414	0.83671
PRDM2	6	-0.0072013	-0.17272	0.74227	0.95294	0.86287	0.96519	0.052482	1.2586	0.25773	0.98969	0.20816	0.71896	0.0057118	0.13698	0.90722	0.98936	0.89104	0.94979
NSD1	6	0.012188	0.28334	0.75258	0.95294	0.77691	0.96519	0.025856	0.60106	0.56701	0.98969	0.5478	0.81337	-0.045157	-1.0498	0.52577	0.98936	0.29383	0.75037
SOX9	6	0.050907	1.3831	0.2268	0.95294	0.16662	0.93509	0.046923	1.2748	0.31959	0.98969	0.20238	0.71896	0.12461	3.3851	0.010309	0.25	0.00071152	0.013804
PROM1	6	0.0025956	0.46628	0.98969	0.98969	0.64102	0.93509	0.0044995	0.80825	0.98969	0.98969	0.41895	0.77043	0.0066614	1.1966	0.89691	0.98936	0.23146	0.75037
KRT20	6	-0.13275	-0.71627	0	0	0.47382	0.93509	-0.72629	-3.9205	0	0	8.836e-05	0.0042854	-0.79707	-4.303	0	0	1.685e-05	0.00086191
LRIG1	6	0.0082049	1.0086	0.83505	0.95294	0.31316	0.93509	0.016195	1.9907	0.75258	0.98969	0.04651	0.50239	0.021743	2.6726	0.64948	0.98936	0.0075255	0.087758
